trade_date,underlier,num_trades,num_entries,num_rolls,num_squareoffs,gross_pnl,first_entry_time,last_roll_time,num_unique_strikes_held,max_favorable_excursion,max_adverse_excursion
2022-11-01,NIFTY,688,2,171,2,-2.0500000000000895,09:15:00,15:00:17,3,26.250000000000114,-5.549999999999997
2022-11-01,BANKNIFTY,952,2,237,2,-58.000000000000284,09:15:00,15:26:06,6,15.999999999999972,-98.1
2022-11-02,NIFTY,1024,2,255,2,27.55000000000009,09:15:01,14:58:49,3,36.9000000000001,-3.549999999999997
2022-11-02,BANKNIFTY,1052,2,262,2,45.84999999999971,09:15:01,15:00:47,5,77.34999999999971,-12.400000000000063
2022-11-03,NIFTY,1092,2,272,2,-81.1,09:15:00,15:12:25,4,0.0,-96.95000000000002
2022-11-03,BANKNIFTY,1024,2,255,2,-257.20000000000016,09:15:00,15:24:07,7,0.0,-328.5500000000002
2022-11-04,NIFTY,788,2,196,2,-56.35000000000008,09:15:00,15:06:26,4,0.0,-57.50000000000007
2022-11-04,BANKNIFTY,1124,2,280,2,-37.59999999999974,09:15:02,15:26:38,5,76.5499999999999,-44.09999999999974
2022-11-07,NIFTY,512,2,127,2,-36.500000000000014,09:15:00,15:01:45,5,25.849999999999994,-36.500000000000014
2022-11-07,BANKNIFTY,768,2,191,2,-100.34999999999982,09:15:00,15:21:21,5,50.50000000000003,-112.99999999999983
2022-11-09,NIFTY,1168,2,291,2,56.900000000000006,09:15:00,15:16:22,4,72.10000000000002,0.0
2022-11-09,BANKNIFTY,1216,2,303,2,-58.350000000000165,09:15:00,15:16:25,4,5.05000000000004,-79.60000000000008
2022-11-10,NIFTY,292,2,72,2,-13.749999999999968,09:15:00,15:01:18,3,36.300000000000026,-27.39999999999998
2022-11-10,BANKNIFTY,792,2,197,2,-191.59999999999997,09:15:00,15:29:58,4,56.25000000000007,-201.39999999999986
2022-11-11,NIFTY,1196,2,298,2,-20.39999999999951,09:15:01,15:25:42,4,11.09999999999998,-22.699999999999505
2022-11-11,BANKNIFTY,992,2,247,2,-92.29999999999993,09:15:00,14:45:37,4,0.0,-93.85000000000008
2022-11-14,NIFTY,380,2,94,2,-0.4499999999997968,09:15:01,15:25:49,3,13.950000000000031,-20.549999999999883
2022-11-14,BANKNIFTY,1168,2,291,2,-12.900000000000233,09:15:01,15:03:04,4,24.39999999999995,-21.700000000000074
2022-11-15,NIFTY,316,2,78,2,-47.40000000000008,09:15:00,15:22:22,4,13.749999999999986,-47.950000000000074
2022-11-15,BANKNIFTY,576,2,143,2,-41.29999999999987,09:15:00,15:29:36,5,8.100000000000165,-62.599999999999824
2022-11-16,NIFTY,796,2,198,2,15.499999999999911,09:15:00,14:55:07,3,34.14999999999995,-3.25
2022-11-16,BANKNIFTY,1368,2,341,2,-11.7499999999999,09:15:01,15:21:23,4,60.1999999999999,-13.59999999999988
2022-11-17,NIFTY,744,2,185,2,5.6999999999999895,09:15:00,15:18:16,3,10.399999999999988,-44.20000000000002
2022-11-17,BANKNIFTY,468,2,116,2,-95.34999999999994,09:15:00,15:11:47,3,26.599999999999994,-180.79999999999993
2022-11-18,NIFTY,416,2,103,2,-23.15000000000002,09:15:00,15:15:08,4,14.25,-25.95000000000003
2022-11-18,BANKNIFTY,296,2,73,2,-73.30000000000013,09:15:00,14:57:33,4,17.549999999999955,-73.30000000000013
2022-11-21,NIFTY,576,2,143,2,-33.699999999999974,09:15:00,15:02:43,4,0.0,-33.699999999999974
2022-11-21,BANKNIFTY,644,2,160,2,-93.00000000000014,09:15:00,15:12:12,2,0.0,-98.55000000000024
2022-11-22,NIFTY,324,2,80,2,-28.849999999999987,09:15:00,15:13:08,4,3.450000000000003,-29.19999999999999
2022-11-22,BANKNIFTY,480,2,119,2,-61.54999999999987,09:15:01,15:04:13,2,11.900000000000006,-63.59999999999985
2022-11-23,NIFTY,684,2,170,2,-27.15,09:15:00,15:27:02,3,0.0,-27.950000000000003
2022-11-23,BANKNIFTY,432,2,107,2,-32.999999999999744,09:15:00,15:08:50,4,41.600000000000136,-38.149999999999864
2022-11-24,NIFTY,972,2,242,2,-15.250000000000002,09:15:00,15:18:33,5,4.000000000000003,-25.65
2022-11-24,BANKNIFTY,872,2,217,2,-72.89999999999992,09:15:00,15:15:31,5,20.30000000000001,-85.24999999999991
2022-11-25,NIFTY,916,2,228,2,-32.899999999999956,09:15:02,15:04:08,2,19.899999999999984,-34.249999999999964
2022-11-25,BANKNIFTY,860,2,214,2,1.999999999999801,09:15:02,15:06:16,6,69.19999999999999,-62.450000000000216
2022-11-28,NIFTY,1360,2,339,2,-41.15000000000013,09:15:00,14:58:02,5,26.94999999999999,-48.500000000000135
2022-11-28,BANKNIFTY,1088,2,271,2,-68.1000000000004,09:15:00,15:29:40,4,17.500000000000057,-91.80000000000041
2022-11-29,NIFTY,520,2,129,2,-48.849999999999966,09:15:00,15:25:41,3,0.0,-77.1999999999999
2022-11-29,BANKNIFTY,376,2,93,2,-57.300000000000466,09:15:02,14:56:18,4,0.0,-117.70000000000036
2022-11-30,NIFTY,984,2,245,2,-104.5000000000002,09:15:01,15:19:00,5,18.750000000000007,-117.45000000000019
2022-11-30,BANKNIFTY,396,2,98,2,-139.44999999999982,09:15:01,15:12:33,4,86.39999999999996,-148.39999999999984
