trade_date,underlier,total_files,unique_strikes,ce_count,pe_count
2022-11-01,BANKNIFTY,161,106,69,92
2022-11-01,NIFTY,163,109,69,94
2022-11-02,BANKNIFTY,159,106,70,89
2022-11-02,NIFTY,164,109,74,90
2022-11-03,BANKNIFTY,171,106,77,94
2022-11-03,NIFTY,166,109,75,91
2022-11-04,BANKNIFTY,150,95,59,91
2022-11-04,NIFTY,152,104,68,84
2022-11-07,BANKNIFTY,154,98,59,95
2022-11-07,NIFTY,148,104,64,84
2022-11-09,BANKNIFTY,157,101,60,97
2022-11-09,NIFTY,164,104,72,92
2022-11-10,BANKNIFTY,166,103,69,97
2022-11-10,NIFTY,156,104,71,85
2022-11-11,BANKNIFTY,142,93,53,89
2022-11-11,NIFTY,143,97,61,82
2022-11-14,BANKNIFTY,150,97,56,94
2022-11-14,NIFTY,154,100,61,93
2022-11-15,BANKNIFTY,151,101,53,98
2022-11-15,NIFTY,145,100,58,87
2022-11-16,BANKNIFTY,160,108,61,99
2022-11-16,NIFTY,151,101,64,87
2022-11-17,BANKNIFTY,173,112,67,106
2022-11-17,NIFTY,157,101,69,88
2022-11-18,BANKNIFTY,189,111,79,110
2022-11-18,NIFTY,184,110,84,100
2022-11-21,BANKNIFTY,182,114,73,109
2022-11-21,NIFTY,182,110,83,99
2022-11-22,BANKNIFTY,188,114,76,112
2022-11-22,NIFTY,179,107,83,96
2022-11-23,BANKNIFTY,193,114,81,112
2022-11-23,NIFTY,184,108,84,100
2022-11-24,BANKNIFTY,203,116,88,115
2022-11-24,NIFTY,196,110,94,102
2022-11-25,BANKNIFTY,145,99,53,92
2022-11-25,NIFTY,146,98,60,86
2022-11-28,BANKNIFTY,153,102,60,93
2022-11-28,NIFTY,145,97,59,86
2022-11-29,BANKNIFTY,158,103,61,97
2022-11-29,NIFTY,161,109,62,99
2022-11-30,BANKNIFTY,158,104,62,96
2022-11-30,NIFTY,161,108,64,97
