trade_date,underlier,selected_expiry
2022-11-01,BANKNIFTY,2022-11-03
2022-11-01,NIFTY,2022-11-03
2022-11-02,BANKNIFTY,2022-11-03
2022-11-02,NIFTY,2022-11-03
2022-11-03,BANKNIFTY,2022-11-03
2022-11-03,NIFTY,2022-11-03
2022-11-04,BANKNIFTY,2022-11-10
2022-11-04,NIFTY,2022-11-10
2022-11-07,BANKNIFTY,2022-11-10
2022-11-07,NIFTY,2022-11-10
2022-11-09,BANKNIFTY,2022-11-10
2022-11-09,NIFTY,2022-11-10
2022-11-10,BANKNIFTY,2022-11-10
2022-11-10,NIFTY,2022-11-10
2022-11-11,BANKNIFTY,2022-11-17
2022-11-11,NIFTY,2022-11-17
2022-11-14,BANKNIFTY,2022-11-17
2022-11-14,NIFTY,2022-11-17
2022-11-15,BANKNIFTY,2022-11-17
2022-11-15,NIFTY,2022-11-17
2022-11-16,BANKNIFTY,2022-11-17
2022-11-16,NIFTY,2022-11-17
2022-11-17,BANKNIFTY,2022-11-17
2022-11-17,NIFTY,2022-11-17
2022-11-18,BANKNIFTY,2022-11-24
2022-11-18,NIFTY,2022-11-24
2022-11-21,BANKNIFTY,2022-11-24
2022-11-21,NIFTY,2022-11-24
2022-11-22,BANKNIFTY,2022-11-24
2022-11-22,NIFTY,2022-11-24
2022-11-23,BANKNIFTY,2022-11-24
2022-11-23,NIFTY,2022-11-24
2022-11-24,BANKNIFTY,2022-11-24
2022-11-24,NIFTY,2022-11-24
2022-11-25,BANKNIFTY,2022-12-01
2022-11-25,NIFTY,2022-12-01
2022-11-28,BANKNIFTY,2022-12-01
2022-11-28,NIFTY,2022-12-01
2022-11-29,BANKNIFTY,2022-12-01
2022-11-29,NIFTY,2022-12-01
2022-11-30,BANKNIFTY,2022-12-01
2022-11-30,NIFTY,2022-12-01
