trade_date,underlier,rows,columns,memory_mb
2022-11-01,BANKNIFTY,22500,162,28.0
2022-11-01,NIFTY,22500,164,28.3
2022-11-02,BANKNIFTY,22500,160,27.6
2022-11-02,NIFTY,22500,165,28.5
2022-11-03,BANKNIFTY,22500,172,29.7
2022-11-03,NIFTY,22500,167,28.8
2022-11-04,BANKNIFTY,22500,151,26.1
2022-11-04,NIFTY,22500,153,26.4
2022-11-07,BANKNIFTY,22500,155,26.8
2022-11-07,NIFTY,22500,149,25.7
2022-11-09,BANKNIFTY,22500,158,27.3
2022-11-09,NIFTY,22500,165,28.5
2022-11-10,BANKNIFTY,22500,167,28.8
2022-11-10,NIFTY,22500,157,27.1
2022-11-11,BANKNIFTY,22500,143,24.7
2022-11-11,NIFTY,22500,144,24.9
2022-11-14,BANKNIFTY,22500,151,26.1
2022-11-14,NIFTY,22500,155,26.8
2022-11-15,BANKNIFTY,22500,152,26.3
2022-11-15,NIFTY,22500,146,25.2
2022-11-16,BANKNIFTY,22500,161,27.8
2022-11-16,NIFTY,22500,152,26.3
2022-11-17,BANKNIFTY,22500,174,30.0
2022-11-17,NIFTY,22500,158,27.3
2022-11-18,BANKNIFTY,22500,190,32.8
2022-11-18,NIFTY,22500,185,31.9
2022-11-21,BANKNIFTY,22500,183,31.6
2022-11-21,NIFTY,22500,183,31.6
2022-11-22,BANKNIFTY,22500,189,32.6
2022-11-22,NIFTY,22500,180,31.1
2022-11-23,BANKNIFTY,22500,194,33.5
2022-11-23,NIFTY,22500,185,31.9
2022-11-24,BANKNIFTY,22500,204,35.2
2022-11-24,NIFTY,22500,197,34.0
2022-11-25,BANKNIFTY,22500,146,25.2
2022-11-25,NIFTY,22500,147,25.4
2022-11-28,BANKNIFTY,22500,154,26.6
2022-11-28,NIFTY,22500,146,25.2
2022-11-29,BANKNIFTY,22500,159,27.5
2022-11-29,NIFTY,22500,162,28.0
2022-11-30,BANKNIFTY,22500,159,27.5
2022-11-30,NIFTY,22500,162,28.0
