trade_date,underlier,total_strikes,eligible_strikes,ce_only,pe_only,min_eligible_strike,max_eligible_strike
2022-11-01,BANKNIFTY,106,55,14,37,36000,44500
2022-11-01,NIFTY,109,54,15,40,15000,19700
2022-11-02,BANKNIFTY,106,53,17,36,35000,46000
2022-11-02,NIFTY,109,55,19,35,16000,19000
2022-11-03,BANKNIFTY,106,65,12,29,35000,45000
2022-11-03,NIFTY,109,57,18,34,16000,19500
2022-11-04,BANKNIFTY,95,55,4,36,35000,44500
2022-11-04,NIFTY,104,48,20,36,15100,19600
2022-11-07,BANKNIFTY,98,56,3,39,35000,46500
2022-11-07,NIFTY,104,44,20,40,15100,19000
2022-11-09,BANKNIFTY,101,56,4,41,35000,45000
2022-11-09,NIFTY,104,60,12,32,14800,19800
2022-11-10,BANKNIFTY,103,63,6,34,35000,45000
2022-11-10,NIFTY,104,52,19,33,16000,19050
2022-11-11,BANKNIFTY,93,49,4,40,37500,46500
2022-11-11,NIFTY,97,46,15,36,16000,19500
2022-11-14,BANKNIFTY,97,53,3,41,37000,46500
2022-11-14,NIFTY,100,54,7,39,16000,19750
2022-11-15,BANKNIFTY,101,50,3,48,38000,47000
2022-11-15,NIFTY,100,45,13,42,16500,19500
2022-11-16,BANKNIFTY,108,52,9,47,37500,45000
2022-11-16,NIFTY,101,50,14,37,16350,19500
2022-11-17,BANKNIFTY,112,61,6,45,35000,45000
2022-11-17,NIFTY,101,56,13,32,15200,19500
2022-11-18,BANKNIFTY,111,78,1,32,30000,47000
2022-11-18,NIFTY,110,74,10,26,14500,19900
2022-11-21,BANKNIFTY,114,68,5,41,30000,46500
2022-11-21,NIFTY,110,72,11,27,14500,19900
2022-11-22,BANKNIFTY,114,74,2,38,30000,47000
2022-11-22,NIFTY,107,72,11,24,14500,19900
2022-11-23,BANKNIFTY,114,79,2,33,30000,47500
2022-11-23,NIFTY,108,76,8,24,14500,19950
2022-11-24,BANKNIFTY,116,87,1,28,30000,47500
2022-11-24,NIFTY,110,86,8,16,14500,19950
2022-11-25,BANKNIFTY,99,46,7,46,38000,47000
2022-11-25,NIFTY,98,48,12,38,16000,20000
2022-11-28,BANKNIFTY,102,51,9,42,30000,47000
2022-11-28,NIFTY,97,48,11,38,16000,20000
2022-11-29,BANKNIFTY,103,55,6,42,30000,47000
2022-11-29,NIFTY,109,52,10,47,16000,20000
2022-11-30,BANKNIFTY,104,54,8,42,33000,45000
2022-11-30,NIFTY,108,53,11,44,16300,20000
